FPL ALL PLAYERS
=================================================================================================================================================
Updated: 2026-08-24 16:05:31
Total players: 609

PLAYER                      TEAM                     POS   PRICE    PTS    BONUS   BPS     DC      xG       xA       xGI      G     A     MIN     OWN      
Joelinton Cássio Apolinário de LiraNewcastle                MID   £5.5m    0      0       0       0       0        0        0        0     0     0       0.0%     
Lewis Miley                 Newcastle                MID   £5.5m    3      0       13      13      0.05     0.01     0.06     0     0     75      0.1%     
Sean Steur                  Newcastle                MID   £5.0m    1      0       3       2       0        0        0        0     0     55      0.1%     
Nick Woltemade              Newcastle                FWD   £6.0m    0      0       0       0       0        0        0        0     0     0       1.7%     
Sean Neave                  Newcastle                FWD   £4.5m    0      0       0       0       0        0        0        0     0     0       0.8%     
William Osula               Newcastle                FWD   £6.0m    4      0       18      5       0.06     0.14     0.20     0     1     55      1.1%     
Yoane Wissa                 Newcastle                FWD   £6.0m    4      0       7       8       1        0.02     1.02     0     1     90      2.1%     
John Victor Maciel Furtado  Nott'm Forest            GK    £4.5m    0      0       0       0       0        0        0        0     0     0       0.1%     
Matz Sels                   Nott'm Forest            GK    £5.0m    2      0       11      0       0        0        0        0     0     90      1.6%     
Steven Benda                Nott'm Forest            GK    £4.5m    0      0       0       0       0        0        0        0     0     0       0.1%     
Felipe Rodrigues da Silva   Nott'm Forest            DEF   £5.0m    0      0       0       0       0        0        0        0     0     0       0.1%     
Jair Paula da Cunha Filho   Nott'm Forest            DEF   £4.5m    1      0       5       8       0        0        0        0     0     90      0.2%     
Luca Netz                   Nott'm Forest            DEF   £4.5m    1      0       -2      0       0        0        0        0     0     16      0.0%     
Murillo Costa dos Santos    Nott'm Forest            DEF   £5.5m    4      0       15      14      0        0.28     0.28     0     0     90      1.7%     
Neco Williams               Nott'm Forest            DEF   £5.0m    2      0       13      6       0        0.02     0.02     0     0     90      9.8%     
Nicolò Savona               Nott'm Forest            DEF   £4.5m    0      0       0       0       0        0        0        0     0     0       0.0%     
Nikola Milenković           Nott'm Forest            DEF   £5.5m    2      0       4       7       0.11     0.02     0.13     0     0     90      2.0%     
Ola Aina                    Nott'm Forest            DEF   £4.5m    5      0       24      2       0.04     0.17     0.21     0     0     73      3.6%     
Omar Richards               Nott'm Forest            DEF   £4.0m    0      0       0       0       0        0        0        0     0     0       0.3%     
Ousmane Diomande            Nott'm Forest            DEF   £5.5m    0      0       0       0       0        0        0        0     0     0       0.8%     
Tyler Bindon                Nott'm Forest            DEF   £4.0m    0      0       0       0       0        0        0        0     0     0       0.2%     
Zach Abbott                 Nott'm Forest            DEF   £4.0m    0      0       0       0       0        0        0        0     0     0       0.3%     
Callum Hudson-Odoi          Nott'm Forest            MID   £6.0m    0      0       0       0       0        0        0        0     0     0       0.3%     
Dan Ndoye                   Nott'm Forest            MID   £5.5m    3      0       5       3       0        0        0        0     0     61      0.4%     
Dilane Bakwa                Nott'm Forest            MID   £5.5m    0      0       0       0       0        0        0        0     0     0       0.0%     
Ibrahim Sangaré             Nott'm Forest            MID   £5.0m    2      0       10      6       0.03     0.01     0.04     0     0     90      1.1%     
James McAtee                Nott'm Forest            MID   £5.5m    3      0       18      8       0        0.16     0.16     0     0     73      0.0%     
Morgan Gibbs-White          Nott'm Forest            MID   £8.0m    2      0       10      3       0.13     0.06     0.19     0     0     90      11.3%    
Nicolás Domínguez           Nott'm Forest            MID   £5.0m    0      0       0       0       0        0        0        0     0     0       0.1%     
Omari Hutchinson            Nott'm Forest            MID   £5.5m    0      0       0       0       0        0        0        0     0     0       0.2%     
Ryan Yates                  Nott'm Forest            MID   £4.5m    0      0       0       0       0        0        0        0     0     0       1.7%     
Xaver Schlager              Nott'm Forest            MID   £5.0m    1      0       3       1       0        0        0        0     0     16      0.1%     
Arnaud Kalimuendo           Nott'm Forest            FWD   £5.5m    1      0       3       0       0        0        0        0     0     1       0.1%     
Chris Wood                  Nott'm Forest            FWD   £6.0m    1      0       3       1       0.12     0.01     0.13     0     0     28      1.8%     
Igor Jesus Maciel da Cruz   Nott'm Forest            FWD   £6.0m    2      0       8       3       0.22     0.02     0.24     0     0     90      4.2%     
Antonín Kinský              Spurs                    GK    £4.5m    2      0       15      0       0        0        0        0     0     90      23.7%    
Brandon Austin              Spurs                    GK    £4.0m    0      0       0       0       0        0        0        0     0     0       0.9%     
Guglielmo Vicario           Spurs                    GK    £4.5m    0      0       0       0       0        0        0        0     0     0       0.3%     
Martin Dubravka             Spurs                    GK    £4.0m    0      0       0       0       0        0        0        0     0     0       19.2%    
Andrew Robertson            Spurs                    DEF   £4.5m    3      0       13      11      0        0.06     0.06     0     0     90      3.9%     
Ashley Phillips             Spurs                    DEF   £4.5m    0      0       0       0       0        0        0        0     0     0       0.0%     
Ben Davies                  Spurs                    DEF   £4.0m    0      0       0       0       0        0        0        0     0     0       1.1%     
Cristian Romero             Spurs                    DEF   £5.0m    0      0       0       0       0        0        0        0     0     0       0.2%     
Destiny Udogie              Spurs                    DEF   £4.5m    1      0       3       0       0        0.02     0.02     0     0     4       0.5%     
Djed Spence                 Spurs                    DEF   £4.5m    0      0       0       0       0        0        0        0     0     0       0.7%     
James Rowswell              Spurs                    DEF   £4.0m    0      0       0       0       0        0        0        0     0     0       0.1%     
Jan Paul van Hecke          Spurs                    DEF   £5.0m    1      0       3       9       0        0.03     0.03     0     0     90      10.4%    
João Victor de Souza MenezesSpurs                    DEF   £4.0m    0      0       0       0       0        0        0        0     0     0       0.3%     
Jun'ai Byfield              Spurs                    DEF   £4.0m    0      0       0       0       0        0        0        0     0     0       0.1%     
Kevin Danso                 Spurs                    DEF   £5.0m    0      0       0       0       0        0        0        0     0     0       0.2%     
Marcos Senesi Barón         Spurs                    DEF   £6.0m    3      0       10      16      0        0.02     0.02     0     0     90      8.1%     
Micky van de Ven            Spurs                    DEF   £5.0m    0      0       0       0       0        0        0        0     0     0       4.8%     
Pedro Porro Sauceda         Spurs                    DEF   £5.5m    0      0       0       0       0        0        0        0     0     0       15.0%    
Archie Gray                 Spurs                    MID   £5.0m    2      0       15      5       0        0.01     0.01     0     0     85      0.2%     
Callum Olusesi              Spurs                    MID   £4.5m    0      0       0       0       0        0        0        0     0     0       0.9%     
Conor Gallagher             Spurs                    MID   £5.5m    0      0       1       3       0.02     0.06     0.08     0     0     45      0.3%     
Dejan Kulusevski            Spurs                    MID   £6.5m    0      0       0       0       0        0        0        0     0     0       0.0%     
James Maddison              Spurs                    MID   £6.5m    1      0       6       2       0        0.01     0.01     0     0     22      1.3%     
Luca Williams-Barnett       Spurs                    MID   £4.5m    0      0       0       0       0        0        0        0     0     0       0.0%     
Lucas Bergvall              Spurs                    MID   £5.5m    1      0       2       8       0        0.01     0.01     0     0     45      0.2%     
Mateus Fernandes            Spurs                    MID   £6.0m    1      0       16      2       0        0.06     0.06     0     0     45      1.9%     
Mathys Tel                  Spurs                    MID   £6.0m    2      0       17      8       0.06     0.06     0.12     0     0     90      0.5%     
Mikey Moore                 Spurs                    MID   £5.0m    2      0       10      2       0.38     0.02     0.40     0     0     67      0.2%     
Mohammed Kudus              Spurs                    MID   £6.5m    0      0       0       0       0        0        0        0     0     0       0.1%     
Pape Matar Sarr             Spurs                    MID   £5.0m    0      0       0       0       0        0        0        0     0     0       0.2%     
Rodrigo Bentancur           Spurs                    MID   £5.5m    1      0       8       5       0        0.01     0.01     0     0     45      0.2%     
Sandro Tonali               Spurs                    MID   £5.5m    2      0       14      4       0.04     0.06     0.10     0     0     90      4.1%     
Wilson Odobert              Spurs                    MID   £5.5m    0      0       0       0       0        0        0        0     0     0       0.0%     
Xavi Simons                 Spurs                    MID   £6.0m    0      0       0       0       0        0        0        0     0     0       0.0%     
Dane Scarlett               Spurs                    FWD   £4.5m    0      0       0       0       0        0        0        0     0     0       1.8%     
Dominic Solanke-Mitchell    Spurs                    FWD   £6.0m    1      0       3       0       0.07     0        0.07     0     0     22      1.4%     
Richarlison de Andrade      Spurs                    FWD   £6.0m    2      0       6       1       0        0        0        0     0     67      3.1%     
Anthony Patterson           Sunderland               GK    £4.0m    0      0       0       0       0        0        0        0     0     0       0.2%     
Melker Ellborg              Sunderland               GK    £4.5m    0      0       0       0       0        0        0        0     0     0       0.1%     
Robin Roefs                 Sunderland               GK    £5.0m    1      0       7       0       0        0        0        0     0     90      4.3%     
Arthur Masuaku              Sunderland               DEF   £4.0m    0      0       0       0       0        0        0        0     0     0       0.2%     
Daniel Ballard              Sunderland               DEF   £5.0m    0      0       4       9       0        0.01     0.01     0     0     90      5.5%     
Jenson Seelt                Sunderland               DEF   £4.5m    0      0       0       0       0        0        0        0     0     0       0.0%     
Leo Fuhr Hjelde             Sunderland               DEF   £4.0m    0      0       0       0       0        0        0        0     0     0       0.1%     
Luke O'Nien                 Sunderland               DEF   £4.0m    1      0       1       5       0.01     0.01     0.02     0     0     66      3.6%     
Nordi Mukiele               Sunderland               DEF   £5.5m    0      0       0       0       0        0        0        0     0     0       2.8%     
Omar Alderete               Sunderland               DEF   £5.0m    1      0       2       0       0        0.01     0.01     0     0     23      0.5%     
Reinildo Mandava            Sunderland               DEF   £4.5m    1      0       9       8       0        0.29     0.29     0     0     90      0.5%     
Thomas Meunier              Sunderland               DEF   £4.5m    1      0       5       4       0.08     0.08     0.16     0     0     90      0.3%     
Trai Hume                   Sunderland               DEF   £4.5m    2      0       14      4       0.04     0.27     0.31     0     0     79      6.8%     
Chemsdine Talbi             Sunderland               MID   £5.5m    1      0       1       2       0        0        0        0     0     31      0.2%     
Chris Rigg                  Sunderland               MID   £5.0m    1      0       3       1       0        0        0        0     0     10      0.1%     
Djiamgone Jocelin Ta Bi     Sunderland               MID   £5.0m    0      0       0       0       0        0        0        0     0     0       0.0%     
Enzo Le Fée                 Sunderland               MID   £6.0m    2      0       13      2       0        0.03     0.03     0     0     79      9.7%     
Granit Xhaka                Sunderland               MID   £5.5m    9      2       31      13      0        0.09     0.09     0     1     90      4.5%     
Habib Diarra                Sunderland               MID   £5.5m    1      0       3       0       0.03     0        0.03     0     0     10      0.1%     
Nilson Angulo               Sunderland               MID   £5.0m    5      0       23      7       0.15     0.01     0.16     1     0     58      0.1%     
Noah Sadiki                 Sunderland               MID   £5.0m    2      0       18      2       0.06     0.03     0.09     0     0     90      0.4%     
Romaine Mundle              Sunderland               MID   £5.0m    0      0       0       0       0        0        0        0     0     0       0.0%     
Simon Adingra               Sunderland               MID   £5.0m    0      0       0       0       0        0        0        0     0     0       0.1%     
Brian Brobbey               Sunderland               FWD   £6.0m    2      0       1       0       0.30     0        0.30     0     0     66      13.8%    
Wilson Isidor               Sunderland               FWD   £5.5m    1      0       3       0       0        0        0        0     0     23      1.0%     
