FPL ALL PLAYERS
=================================================================================================================================================
Updated: 2026-08-24 16:05:31
Total players: 609

PLAYER                      TEAM                     POS   PRICE    PTS    BONUS   BPS     DC      xG       xA       xGI      G     A     MIN     OWN      
Mamadou Sangaré             Brentford                MID   £5.5m    14     3       41      13      0.05     0.33     0.38     0     2     75      4.8%     
Mathias Jensen              Brentford                MID   £5.5m    6      0       22      5       0.08     0.34     0.42     0     1     66      0.2%     
Mikkel Damsgaard            Brentford                MID   £5.5m    1      0       6       4       0        0.11     0.11     0     0     14      0.6%     
Vitaly Janelt               Brentford                MID   £5.0m    9      0       35      13      0.39     0.17     0.56     1     0     90      0.2%     
Yehor Yarmoliuk             Brentford                MID   £5.0m    1      0       7       6       0.04     0        0.04     0     0     23      1.3%     
Callum Wilson               Brentford                FWD   £5.5m    1      0       4       0       0.03     0.04     0.07     0     0     7       0.4%     
Igor Thiago Nascimento RodriguesBrentford                FWD   £8.0m    0      0       -3      5       1        0.08     1.08     0     0     82      17.2%    
Kaye Furo                   Brentford                FWD   £4.5m    0      0       0       0       0        0        0        0     0     0       0.9%     
Bart Verbruggen             Brighton                 GK    £4.5m    6      0       25      0       0        0        0        0     0     90      21.6%    
Jason Steele                Brighton                 GK    £4.0m    0      0       0       0       0        0        0        0     0     0       4.1%     
Diego Coppola               Brighton                 DEF   £4.5m    0      0       0       0       0        0        0        0     0     0       0.0%     
Ferdi Kadıoğlu              Brighton                 DEF   £4.5m    0      0       0       0       0        0        0        0     0     0       2.7%     
Igor Julio dos Santos de PauloBrighton                 DEF   £4.5m    0      0       0       0       0        0        0        0     0     0       0.1%     
João Pedro Loureiro da CostaBrighton                 DEF   £4.5m    1      0       7       4       0.12     0        0.12     0     0     26      0.0%     
Lewis Dunk                  Brighton                 DEF   £4.5m    6      0       24      2       0        0.04     0.04     0     0     90      1.1%     
Luka Vušković               Brighton                 DEF   £5.0m    6      0       19      4       0.13     0.03     0.16     0     0     90      2.5%     
Mats Wieffer                Brighton                 DEF   £5.0m    7      1       32      8       0.09     0.05     0.14     0     0     77      0.3%     
Maxim De Cuyper             Brighton                 DEF   £4.5m    17     2       46      4       1.47     0.21     1.68     1     1     77      3.4%     
Michael Svoboda             Brighton                 DEF   £5.0m    0      0       0       0       0        0        0        0     0     0       0.1%     
Olivier Boscagli            Brighton                 DEF   £4.5m    6      0       29      6       0        0.04     0.04     0     0     90      0.2%     
Pascal Struijk              Brighton                 DEF   £5.0m    0      0       0       0       0        0        0        0     0     0       0.2%     
Carlos Baleba               Brighton                 MID   £5.0m    0      0       0       0       0        0        0        0     0     0       0.2%     
Diego Gómez Amarilla        Brighton                 MID   £5.0m    6      0       27      6       0.18     0.48     0.66     0     1     85      3.9%     
Facundo Buonanotte          Brighton                 MID   £5.0m    0      0       0       0       0        0        0        0     0     0       0.0%     
Harry Howell                Brighton                 MID   £4.5m    0      0       0       0       0        0        0        0     0     0       0.1%     
Ibrahim Osman               Brighton                 MID   £5.0m    1      0       7       2       0        0.05     0.05     0     0     12      0.0%     
Jack Hinshelwood            Brighton                 MID   £6.0m    16     3       54      3       1.41     0.02     1.43     2     0     63      1.1%     
Malick Yalcouyé             Brighton                 MID   £4.5m    1      0       3       0       0        0.01     0.01     0     0     4       0.0%     
Matt O'Riley                Brighton                 MID   £5.5m    0      0       0       0       0        0        0        0     0     0       0.1%     
Mitoma Kaoru                Brighton                 MID   £6.0m    0      0       0       0       0        0        0        0     0     0       0.0%     
Nehemiah Oriola             Brighton                 MID   £4.5m    0      0       0       0       0        0        0        0     0     0       0.3%     
Pascal Groß                 Brighton                 MID   £5.5m    2      0       18      5       0        0.27     0.27     0     0     90      13.9%    
Tom Watson                  Brighton                 MID   £5.0m    0      0       0       0       0        0        0        0     0     0       0.0%     
Yankuba Minteh              Brighton                 MID   £6.0m    0      0       0       0       0        0        0        0     0     0       0.1%     
Yasin Ayari                 Brighton                 MID   £5.5m    2      0       8       4       0.11     0.03     0.14     0     0     63      0.7%     
Zadok Yohanna               Brighton                 MID   £5.0m    1      0       3       0       0        0.03     0.03     0     0     12      0.1%     
Charalampos Kostoulas       Brighton                 FWD   £5.5m    1      0       -1      2       0.18     0        0.18     0     0     26      0.2%     
Evan Ferguson               Brighton                 FWD   £5.0m    0      0       0       0       0        0        0        0     0     0       0.0%     
Georginio Rutter            Brighton                 FWD   £5.5m    5      0       22      7       0.08     0.44     0.52     0     1     90      1.0%     
Promise David               Brighton                 FWD   £6.0m    0      0       0       0       0        0        0        0     0     0       0.3%     
Stefanos Tzimas             Brighton                 FWD   £5.5m    0      0       0       0       0        0        0        0     0     0       0.0%     
Filip Jörgensen             Chelsea                  GK    £5.0m    0      0       0       0       0        0        0        0     0     0       0.0%     
Mike Penders                Chelsea                  GK    £4.5m    0      0       0       0       0        0        0        0     0     0       0.1%     
Robert Lynch Sánchez        Chelsea                  GK    £5.0m    0      0       0       0       0        0        0        0     0     0       2.4%     
Aaron Anselmino             Chelsea                  DEF   £4.5m    0      0       0       0       0        0        0        0     0     0       0.0%     
Axel Disasi                 Chelsea                  DEF   £4.5m    0      0       0       0       0        0        0        0     0     0       0.1%     
Benoît Badiashile Mukinayi  Chelsea                  DEF   £4.5m    0      0       0       0       0        0        0        0     0     0       0.0%     
Jorrel Hato                 Chelsea                  DEF   £4.5m    0      0       0       0       0        0        0        0     0     0       0.5%     
Josh Acheampong             Chelsea                  DEF   £4.5m    0      0       0       0       0        0        0        0     0     0       0.3%     
Levi Samuels Colwill        Chelsea                  DEF   £5.0m    0      0       0       0       0        0        0        0     0     0       1.6%     
Malo Gusto                  Chelsea                  DEF   £5.0m    0      0       0       0       0        0        0        0     0     0       1.2%     
Mamadou Sarr                Chelsea                  DEF   £4.5m    0      0       0       0       0        0        0        0     0     0       0.1%     
Marco Palestra              Chelsea                  DEF   £5.5m    0      0       0       0       0        0        0        0     0     0       3.0%     
Maxence Lacroix             Chelsea                  DEF   £6.0m    0      0       0       0       0        0        0        0     0     0       9.1%     
Pep Chavarría               Chelsea                  DEF   £5.0m    0      0       0       0       0        0        0        0     0     0       0.2%     
Reece James                 Chelsea                  DEF   £5.5m    0      0       0       0       0        0        0        0     0     0       10.4%    
Tosin Adarabioyo            Chelsea                  DEF   £4.5m    0      0       0       0       0        0        0        0     0     0       0.2%     
Trevoh Chalobah             Chelsea                  DEF   £5.5m    0      0       0       0       0        0        0        0     0     0       0.2%     
Wesley Fofana               Chelsea                  DEF   £5.0m    0      0       0       0       0        0        0        0     0     0       0.0%     
Cole Palmer                 Chelsea                  MID   £9.5m    0      0       0       0       0        0        0        0     0     0       10.7%    
Dário Luís Essugo           Chelsea                  MID   £4.5m    0      0       0       0       0        0        0        0     0     0       0.2%     
Enzo Fernández              Chelsea                  MID   £7.0m    0      0       0       0       0        0        0        0     0     0       5.3%     
Estêvão Almeida de Oliveira GonçalvesChelsea                  MID   £6.5m    0      0       0       0       0        0        0        0     0     0       1.3%     
Geovany Quenda              Chelsea                  MID   £5.5m    0      0       0       0       0        0        0        0     0     0       0.0%     
Jamie Bynoe-Gittens         Chelsea                  MID   £6.0m    0      0       0       0       0        0        0        0     0     0       0.0%     
Jordan Henderson            Chelsea                  MID   £5.0m    0      0       0       0       0        0        0        0     0     0       0.0%     
Moisés Caicedo Corozo       Chelsea                  MID   £5.5m    0      0       0       0       0        0        0        0     0     0       4.0%     
Morgan Rogers               Chelsea                  MID   £7.5m    0      0       0       0       0        0        0        0     0     0       24.3%    
Mykhailo Mudryk             Chelsea                  MID   £5.5m    0      0       0       0       0        0        0        0     0     0       0.0%     
Pedro Lomba Neto            Chelsea                  MID   £6.5m    0      0       0       0       0        0        0        0     0     0       1.4%     
Roméo Lavia                 Chelsea                  MID   £5.0m    0      0       0       0       0        0        0        0     0     0       0.1%     
Valentín Barco              Chelsea                  MID   £5.5m    0      0       0       0       0        0        0        0     0     0       0.1%     
Danny Welbeck               Chelsea                  FWD   £6.0m    0      0       0       0       0        0        0        0     0     0       1.1%     
Emmanuel Emegha             Chelsea                  FWD   £5.0m    0      0       0       0       0        0        0        0     0     0       0.2%     
João Pedro Junqueira de JesusChelsea                  FWD   £7.5m    0      0       0       0       0        0        0        0     0     0       64.0%    
